epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8515,1.19275,2.63034,1.288,0.00538,0.96842,0.65773,0.49486,0.80485,2.82954,0.94681,0.00024,0.00024,0.00024
2,94.4199,1.20225,1.86222,1.2296,0.76075,0.90373,0.84969,0.58363,0.95472,2.52762,1.03655,0.00049505,0.00049505,0.00049505
3,145.177,1.15686,1.49788,1.18848,0.87339,0.89474,0.86321,0.63175,1.01879,2.05202,1.03474,0.000744952,0.000744952,0.000744952
4,201.03,1.17615,1.46644,1.22787,0.67576,0.21942,0.57776,0.35407,1.12781,2.78833,1.14269,0.000989706,0.000989706,0.000989706
5,256.301,1.23964,1.45977,1.26139,0.68069,0.11235,0.42815,0.21703,1.61707,3.25361,1.44208,0.00122931,0.00122931,0.00122931
6,308.019,1.2301,1.34504,1.2222,0.43182,0.13603,0.27052,0.16386,1.41696,3.05487,1.42778,0.00146377,0.00146377,0.00146377
7,359.499,1.23839,1.32701,1.22359,0.42569,0.18947,0.27452,0.16618,1.59233,3.05665,1.55627,0.00169308,0.00169308,0.00169308
8,412.047,1.12998,1.18507,1.17333,0.69015,0.91579,0.69619,0.50359,1.09002,1.81346,1.08041,0.0018614,0.0018614,0.0018614
9,452.681,1.17402,1.19651,1.18922,0.36502,0.708,0.3932,0.25538,1.14239,2.02006,1.13602,0.0018416,0.0018416,0.0018416
10,494.648,1.17215,1.23235,1.19338,0.76913,0.83158,0.78676,0.5812,0.97563,1.97757,1.07523,0.0018218,0.0018218,0.0018218
11,534.787,1.12986,1.08062,1.17297,0.68626,0.74737,0.7099,0.50826,1.06105,2.05749,1.08701,0.001802,0.001802,0.001802
12,574.319,1.17763,1.17526,1.19869,0.68372,0.72632,0.65739,0.45118,1.28687,2.37222,1.22722,0.0017822,0.0017822,0.0017822
13,612.809,1.15509,1.09465,1.1899,0.26527,0.76842,0.29842,0.22804,0.95231,3.1916,1.03426,0.0017624,0.0017624,0.0017624
14,651.52,1.11868,1.06272,1.18543,0.67314,0.85263,0.73168,0.549,1.03073,1.35357,1.06726,0.0017426,0.0017426,0.0017426
15,690.42,1.14766,1.04447,1.18246,0.83566,0.8029,0.81865,0.61992,1.0117,1.14782,1.03944,0.0017228,0.0017228,0.0017228
16,728.21,1.11915,0.97993,1.16648,0.73788,0.90526,0.76957,0.59347,0.97263,1.18571,1.01817,0.001703,0.001703,0.001703
17,766.587,1.11365,0.99644,1.17949,0.46379,0.52632,0.39643,0.24443,1.44216,2.15475,1.30538,0.0016832,0.0016832,0.0016832
18,804.219,1.09731,0.98246,1.18955,0.74224,0.91579,0.7528,0.56172,1.03779,1.23178,1.05909,0.0016634,0.0016634,0.0016634
19,840.607,1.14226,0.97517,1.17067,0.85542,0.88421,0.84055,0.64688,0.90118,0.95173,0.97232,0.0016436,0.0016436,0.0016436
20,881.864,1.09322,0.87847,1.18329,0.85577,0.90526,0.85492,0.63979,1.06141,1.00424,1.03209,0.0016238,0.0016238,0.0016238
21,923.869,1.14224,0.89919,1.17302,0.83011,0.89474,0.80681,0.60167,0.98158,0.99849,1.02381,0.001604,0.001604,0.001604
22,963.494,1.16309,0.9192,1.204,0.86796,0.90526,0.8602,0.65829,1.04492,0.88345,1.02369,0.0015842,0.0015842,0.0015842
23,1002.58,1.10534,0.89787,1.14388,0.86775,0.89787,0.87709,0.67155,0.95503,0.81479,0.98748,0.0015644,0.0015644,0.0015644
24,1044.07,1.10149,0.89615,1.17109,0.83265,0.84211,0.87289,0.65468,1.02638,0.92389,1.03041,0.0015446,0.0015446,0.0015446
25,1085.55,1.10532,0.91253,1.15047,0.89032,0.89474,0.87101,0.66791,0.9493,0.75299,0.99555,0.0015248,0.0015248,0.0015248
26,1125.7,1.14935,0.96375,1.19093,0.85688,0.90526,0.87695,0.68007,0.93487,0.77763,0.98958,0.001505,0.001505,0.001505
27,1162.68,1.1046,0.90544,1.17636,0.86502,0.87701,0.87182,0.66286,1.00648,0.82749,1.01061,0.0014852,0.0014852,0.0014852
28,1207.9,1.07673,0.78964,1.13749,0.87015,0.89474,0.88532,0.68425,0.95022,0.80561,0.9706,0.0014654,0.0014654,0.0014654
29,1249.46,1.09058,0.84057,1.15499,0.86023,0.92632,0.87007,0.65759,0.91006,0.7418,0.97998,0.0014456,0.0014456,0.0014456
30,1291.35,1.06737,0.83545,1.15816,0.86933,0.91579,0.86612,0.65965,0.88713,0.75357,0.94689,0.0014258,0.0014258,0.0014258
31,1334.14,1.03718,0.80981,1.10709,0.85674,0.88421,0.84344,0.65032,0.8815,0.8084,0.94356,0.001406,0.001406,0.001406
32,1375.09,1.09612,0.86894,1.1965,0.85077,0.89474,0.86429,0.67809,0.88306,0.81412,0.9384,0.0013862,0.0013862,0.0013862
33,1416.28,0.96513,0.76184,1.08049,0.87662,0.88421,0.86658,0.66994,0.87963,0.79174,0.94456,0.0013664,0.0013664,0.0013664
34,1457.4,1.03075,0.82565,1.14435,0.87972,0.90526,0.8638,0.67477,0.89501,0.74288,0.93916,0.0013466,0.0013466,0.0013466
35,1504.39,1.04536,0.80716,1.13486,0.88453,0.88421,0.86686,0.66895,0.91043,0.75842,0.96043,0.0013268,0.0013268,0.0013268
36,1551.91,1.05635,0.79004,1.13034,0.87868,0.91483,0.8712,0.68955,0.90821,0.77476,0.96603,0.001307,0.001307,0.001307
37,1601.2,1.04421,0.79222,1.10228,0.88206,0.90526,0.88059,0.68959,0.92181,0.77107,0.96581,0.0012872,0.0012872,0.0012872
38,1653.28,1.08488,0.87523,1.16516,0.87595,0.89197,0.87202,0.66491,0.94962,0.75288,0.97891,0.0012674,0.0012674,0.0012674
39,1701.11,1.08602,0.8574,1.14933,0.80748,0.92715,0.85178,0.64578,0.93193,0.77367,0.96795,0.0012476,0.0012476,0.0012476
40,1747.29,1.03747,0.83946,1.12061,0.84346,0.90752,0.85576,0.66118,0.9305,0.77432,0.96248,0.0012278,0.0012278,0.0012278
41,1796.83,1.03502,0.79661,1.12273,0.86554,0.89474,0.85427,0.66358,0.90718,0.79028,0.95007,0.001208,0.001208,0.001208
42,1848.68,1.05144,0.82507,1.12905,0.82877,0.91709,0.8555,0.65437,0.9302,0.78291,0.95016,0.0011882,0.0011882,0.0011882
43,1899.41,0.98301,0.76529,1.08618,0.84191,0.88421,0.85527,0.65744,0.89768,0.85859,0.95663,0.0011684,0.0011684,0.0011684
44,1946.7,1.01412,0.79248,1.1136,0.85764,0.89474,0.86391,0.67546,0.88794,0.84842,0.93802,0.0011486,0.0011486,0.0011486
45,1992.96,1.01388,0.74865,1.10668,0.86729,0.89429,0.88589,0.69511,0.88745,0.78317,0.94313,0.0011288,0.0011288,0.0011288
46,2040.87,1.02906,0.77911,1.12266,0.87653,0.89679,0.89224,0.6997,0.87421,0.67824,0.93932,0.001109,0.001109,0.001109
47,2088.59,0.98692,0.724,1.09682,0.88826,0.90526,0.89121,0.71102,0.83989,0.66051,0.92756,0.0010892,0.0010892,0.0010892
48,2141.51,1.03894,0.78092,1.1398,0.85408,0.92632,0.88071,0.68793,0.85389,0.73794,0.94411,0.0010694,0.0010694,0.0010694
49,2196.72,1.00409,0.73703,1.13025,0.84945,0.90526,0.88579,0.69016,0.89448,0.8031,0.95281,0.0010496,0.0010496,0.0010496
50,2247.27,0.98499,0.72954,1.09144,0.85255,0.91296,0.87441,0.68473,0.86762,0.80122,0.93054,0.0010298,0.0010298,0.0010298
51,2299.15,0.98647,0.74612,1.12737,0.88361,0.87909,0.87638,0.66262,0.90154,0.69287,0.94399,0.00101,0.00101,0.00101
52,2347.52,0.94702,0.74527,1.09477,0.8836,0.87368,0.87089,0.67187,0.88737,0.66906,0.93776,0.0009902,0.0009902,0.0009902
53,2394.26,0.94048,0.76171,1.08069,0.88594,0.92632,0.88664,0.66496,0.96179,0.72848,0.99232,0.0009704,0.0009704,0.0009704
54,2440.45,1.01408,0.76125,1.11115,0.88563,0.92632,0.88173,0.6978,0.88146,0.75201,0.93231,0.0009506,0.0009506,0.0009506
55,2487.72,0.9761,0.78943,1.10839,0.86454,0.90526,0.85848,0.67239,0.8711,0.75579,0.93903,0.0009308,0.0009308,0.0009308
56,2536.16,0.93882,0.71148,1.10018,0.84443,0.89474,0.85105,0.66026,0.89926,0.74023,0.95301,0.000911,0.000911,0.000911
