epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8012,2.01024,4.26172,1.68153,0.05744,0.20152,0.06509,0.04101,1.17447,3.92534,1.07401,7.056e-05,7.056e-05,7.056e-05
2,75.8351,1.25541,3.73458,1.12164,0.02468,0.8869,0.14664,0.10648,0.98842,3.84999,0.94083,0.000145545,0.000145545,0.000145545
3,114.149,1.12571,3.22454,1.06067,0.01428,0.91071,0.22939,0.16425,1.00084,3.62051,0.95476,0.000219016,0.000219016,0.000219016
4,152.248,1.14383,2.67878,1.09939,0.01695,0.92262,0.3162,0.23883,0.93509,3.43007,0.93264,0.000290974,0.000290974,0.000290974
5,189.948,1.14315,2.1949,1.1206,0.92399,0.14892,0.37781,0.27944,0.98128,3.2596,1.00686,0.000361418,0.000361418,0.000361418
6,227.33,1.15233,1.88107,1.11418,0.95884,0.23902,0.56833,0.41354,0.98433,2.78749,1.06051,0.000430348,0.000430348,0.000430348
7,268.254,1.1031,1.76389,1.0971,0.92102,0.40537,0.71305,0.46931,1.10395,2.36755,1.0847,0.000497766,0.000497766,0.000497766
8,309.439,1.11241,1.60006,1.11086,0.85323,0.67448,0.76397,0.54939,1.03652,1.92488,1.1459,0.000547252,0.000547252,0.000547252
9,347.814,1.09682,1.47533,1.10161,0.798,0.73702,0.81325,0.59854,0.9643,1.85466,1.11714,0.00054143,0.00054143,0.00054143
10,385.58,1.02585,1.41919,1.05066,0.78586,0.75488,0.83971,0.61582,0.9998,1.45468,1.14322,0.000535609,0.000535609,0.000535609
11,425.139,1.05332,1.29455,1.07756,0.76778,0.85239,0.84856,0.61703,0.97139,1.36284,1.12107,0.000529788,0.000529788,0.000529788
12,462.809,1.01742,1.23154,1.05739,0.67456,0.85429,0.85364,0.62578,0.95845,1.21001,1.08683,0.000523967,0.000523967,0.000523967
13,500.924,1.02658,1.21186,1.03727,0.718,0.85133,0.88821,0.64968,0.9748,1.19731,1.10219,0.000518146,0.000518146,0.000518146
14,539.304,1.022,1.16295,1.06816,0.75691,0.88195,0.87912,0.64747,0.95818,1.04487,1.09586,0.000512324,0.000512324,0.000512324
15,576.574,1.00249,1.14826,1.05497,0.89277,0.84638,0.93325,0.70051,0.96114,1.08127,1.10137,0.000506503,0.000506503,0.000506503
16,614.422,0.97743,1.05241,1.03802,0.80859,0.93947,0.95764,0.73897,0.89118,0.96951,1.07705,0.000500682,0.000500682,0.000500682
17,651.93,0.97688,1.07992,1.05194,0.8727,0.88746,0.90934,0.70308,0.90233,1.02347,1.07109,0.000494861,0.000494861,0.000494861
18,689.405,0.96485,0.98443,1.03645,0.87603,0.97848,0.96859,0.7414,0.91353,0.95527,1.09736,0.00048904,0.00048904,0.00048904
19,727.504,0.96919,0.97817,1.02661,0.86767,0.97083,0.97206,0.75208,0.88608,0.92138,1.05947,0.000483218,0.000483218,0.000483218
20,820.882,0.9539,1.00321,1.02255,0.8831,0.95763,0.96872,0.74405,0.94007,0.95355,1.08645,0.000477397,0.000477397,0.000477397
21,910.4,0.93959,1.00956,1.02731,0.88252,0.9596,0.9622,0.74775,0.91068,0.92742,1.10226,0.000471576,0.000471576,0.000471576
22,951.81,0.95292,0.95551,1.01825,0.9294,0.91369,0.96879,0.72982,0.95877,0.97499,1.11194,0.000465755,0.000465755,0.000465755
23,990.579,0.93983,0.9525,1.03267,0.90133,0.95343,0.96717,0.75364,0.9062,0.90311,1.05799,0.000459934,0.000459934,0.000459934
24,1029.76,0.97149,0.97095,1.03689,0.87734,0.9744,0.96314,0.72372,0.92253,0.94163,1.04155,0.000454112,0.000454112,0.000454112
25,1073.83,0.94478,0.94289,1.01824,0.87207,0.97102,0.97079,0.75975,0.90045,0.86903,1.04825,0.000448291,0.000448291,0.000448291
26,1114.84,0.91353,0.92018,1.02063,0.89176,0.95055,0.97461,0.76612,0.91362,0.87718,1.04896,0.00044247,0.00044247,0.00044247
27,1155.68,0.9452,0.93728,1.02069,0.89187,0.95082,0.9772,0.7338,0.97197,0.8908,1.06514,0.000436649,0.000436649,0.000436649
28,1194.23,0.90946,0.9135,1.02234,0.86437,0.95344,0.97041,0.76454,0.87396,0.87439,1.06223,0.000430828,0.000430828,0.000430828
29,1231.66,0.93236,0.89605,1.01644,0.88248,0.97322,0.96117,0.74455,0.89422,0.8545,1.06792,0.000425006,0.000425006,0.000425006
30,1269.07,0.92109,0.90196,1.02208,0.88652,0.97558,0.96571,0.73682,0.91198,0.84421,1.06264,0.000419185,0.000419185,0.000419185
31,1307.99,0.90211,0.95048,1.01026,0.89866,0.94544,0.97408,0.74502,0.90458,0.90579,1.05415,0.000413364,0.000413364,0.000413364
